"TargetModule","Coverage"
"algorithms.compression.rle_compression","1.0"
"algorithms.dfs.maze_search","1.0"
"algorithms.dfs.pacific_atlantic","0.9459459459459459"
"algorithms.dfs.sudoku_solver","0.5"
"algorithms.dp.fib","1.0"
"algorithms.dp.hosoya_triangle","1.0"
"algorithms.dp.job_scheduling","0.8888888888888888"
"algorithms.dp.k_factor","1.0"
"algorithms.dp.longest_common_subsequence","1.0"
"algorithms.dp.longest_increasing","0.7692307692307693"
"algorithms.dp.matrix_chain_order","0.9047619047619048"
"algorithms.dp.min_cost_path","0.625"
"algorithms.dp.num_decodings","1.0"
"algorithms.dp.word_break","0.9"
"algorithms.graph.bellman_ford","1.0"
"algorithms.graph.check_bipartite","0.9411764705882353"
"algorithms.graph.check_digraph_strongly_connected","0.9444444444444444"
"algorithms.graph.clone_graph","0.9354838709677419"
"algorithms.graph.count_connected_number_of_component","0.5714285714285714"
"algorithms.graph.find_all_cliques","1.0"
"algorithms.graph.find_path","0.9090909090909091"
"algorithms.graph.graph","0.9444444444444444"
"algorithms.graph.maximum_flow","0.6712328767123288"
"algorithms.bfs.shortest_distance_from_all_buildings","0.975609756097561"
"algorithms.dp.longest_common_subsequence","1.0"
"algorithms.dp.longest_increasing","0.7692307692307693"
"algorithms.dp.matrix_chain_order","0.9047619047619048"
"algorithms.dp.min_cost_path","0.625"
"algorithms.dp.num_decodings","1.0"
"algorithms.dp.word_break","0.9"
"algorithms.graph.clone_graph","0.9354838709677419"
"algorithms.graph.find_all_cliques","1.0"
"algorithms.graph.find_path","0.9090909090909091"
